Tid,Label,tweet
1650261,1,@yajairab2 im not a nigglet &#128532;
1650262,0,"@yawlknow @HoskinsTy96 ""all of these rednecks and none of them can keep the fire lit"" &#128514;&#128514;"
1650263,1,@yeXystuSm8 @HeilSidious Because either way that makes you a bitch.
1650264,1,@yeaThtsMyBitch trash
1650265,1,@yelafox @_saharbabyy because hoes disguise themselves as real women
1650266,1,@yendys45 LMFAO thats dead them hoes gotta pay
1650267,2,@yfly23 mock draft?
1650268,1,@yoIorosa -the base) and would mean it would hurt like a bitch to have one broken off.
1650269,1,@yoKBFILTHY shit is trash
1650270,1,@yoPapi_chulo @0beytheLAU @Huntermoore that bitch needs a tittielift
1650271,1,"@yo_brandiiii @PennyTheGOAT 
plot twist: you have no penis.
Penny would make that bitch like a balloon. 
Balloons and bitches can all float"
1650272,1,@yobritttany I didn't know that was a fad sounds fucking retarded haha
1650273,2,@yobritttany wagon burner! Jk jk you did look pretty Latino here
1650274,1,@yooocaly *mormon hoes ;)
1650275,1,"@yooocaly but but but you said vibe. Which means I have to say bitch, don't kill my vibe."
1650276,1,@yooocaly hahaha it makes sense hoe ;p
1650277,1,@yooocaly lets hang fag
1650278,2,@yooperslayer better off banning teabaggers and their anti American supporters
1650279,1,@youknowmaxwell @CiscoAllDay name that hoe (I'm 6'1) on my license tho
1650280,1,@youknowmaxwell no clue but these bad hoes ain't really bad
1650281,1,@youknowmaxwell these hoes don't want no help but they want all the help
1650282,0,@young_moniee what's this chinks email? I'm moving to China and slicing his throat
1650283,1,@youngblackbitch raspy ass voice annoying bitch???
1650284,1,@youngchug nah Bama fans ain't finna have a nigger running the offense.
1650285,2,@youngscooter ghetto gold needa be the first music vid!
1650286,1,@youngsharpblack nigger mad
1650287,1,@yourstruelysam_ @IH8UHOES @Nekko_hbk bruh why it look like a niggah dick slapped the baby &#128514;
1650288,2,@yungdipIo @Iemonaids like I really want a rafter monkey
1650289,1,@yurista4life @PaulMoon8 are you for real right now!! @justinmiculka01 this kid haha where you at pussy
1650290,1,"@z0mbiedance I know, bitches. Let's do something this weekend. Let's bake!"
1650291,1,@z0mbiedance It's not till later hoe! Unless your having a sleepover...#Awk
1650292,1,@z0mbiedance message me hoe! I need to plan stuff.
1650293,1,@zFearless shut up bitch it looks smooth like a booty
1650294,1,"@zT_Supreme @uncr4fted @yoPapi_chulo it doesnt matter if it was a joke, the fact still remains that hes a faggot for pretending to be a girl"
1650295,1,"@zach_smith98 @NathannDevlin bitch I didn't even know you, I was only fucking with real niggas and damn sure wasn't one of them"
1650296,1,@zach_smith98 @kieffer_jason @NathannDevlin bitch fight me so I can make you shut up am going to back my shit up
1650297,1,@zach_smith98 @kieffer_jason bitch stfu and get off my page
1650298,1,"@zachreini does ""smdh"" stand for ""suck my dick, hoe""?"
1650299,1,@zachsafteryou @FreedomFrayed Little sissy bitch
1650300,0,@zeitgeistbabe I hear Bill likes trailer trash like you. @LincRomero7 @JTStover @TheObamaDiary @RebHug @Loriisright
1650301,1,@zenterrorist86 @seahopke &amp; profeten voor 'm?Niemand weet exacte leeftijden maar v Aicha opeens wel.Again zelfs mn ma weet niet hoe oud z is
1650302,1,@zfunk007 I like how his tattoo on his head forms a mullet. White trash people can be so entertaining sometimes
1650303,2,@zhandlen I love WHITE NOISE and love Delillo. I&#8217;ve resisted reading HOUSE OF LEAVES for years. It mocks me on my shelf.
1650304,1,@zimm16 pussy!!!!!
1650305,1,@zlarge20 bro once I'm there next year I'll make you look like straight trash so enjoy it the little time you have left
1650306,1,@zlyouell @SpongeBobVlnes dyke ron&#128109;&#128111;&#128514;
1650307,1,@zooyorkinit you're frumpy bitch
1650308,1,@zramsin @BetoDavidThomas go fuck your self pussy &#128536;
1650309,2,@zt0mm lucky monkey
1650310,1,@zzzentropy @guynamedjordan bitch boys
1650311,1,A .4? Jesus take me now RT @_RichHomieJuan_: @ayylmaoanod bitch you go for a .4 and mc Donald's. Fuck out the spot
1650312,1,A 50 dollar card make a young nicca go hard .. Throw in a cell phone i can get you left on the yard!
1650313,2,A GWB appointee. There goes the ACTIVIST JUDGES slant. Oh wait? It's already been exposed as completely farcical. A GWB appointee.
1650314,2,A MESSAGE FOR ALL OF HUMANITY ~ Charlie Chaplin @mobengalfan @DISL_Automatic @mikehoho http://t.co/itDIRcNt7y
1650315,1,A Nigguh spitting dat crack to your bitch
1650316,2,A Yankee win makes any day better.
1650317,1,A bad bitch who knows her cars&gt;&gt;&gt;
1650318,1,A basic bitch will piss me off every single time.
1650319,1,A bf and gf&#128107; are suppose to laugh&#128514; at these hoes&#128111; together&#128145;. A guy should never have these hoes&#128111; laughing&#128514; at his girl&#128134;
1650320,1,"A big ass wasp was flying round on my bus, my dike bus driver stops the bus, grabs that bitch by the wings, and throws it out the window &#128591;"
1650321,2,A bird just flew into my window?????? I hope he's okay &#128563;
1650322,1,A bird just smacked right into my car window. My parked car window &#128528; scared the fuck outta me
1650323,1,A bitch can't resist a nugga with a fresh cut shit I can hardly resist myself when j get one &#128514;
1650324,1,A bitch could never come out of her mouth and speak on shit that she has no idea what she's talking about.
1650325,1,A bitch like you need to get fucked right every night
1650326,1,A bitch wanna get slick &#128514;&#128079;&#9995;&#128133;
1650327,1,A bitch who can't keep a man RT @SoloDahSystem: Which one of you air headed bitches made this? http://t.co/aEMkmikoyf
1650328,1,A bitch who can't ride dick is useless
1650329,1,"A bitch will be quick to get mad if they have to write and essay, but go post 1,000 tweets with ease."
1650330,1,"A boyfriend who tells hoes and sluts, ""I have a girlfriend"", is a real ass dude."
1650331,1,"A dick has a sad life: His hair is a mess, his family is nuts, his neighbor's an asshole, his bestfriend's a pussy, &amp; his owner beats him.&#128514;&#128514;"
1650332,1,A down bitch for a real nigga
1650333,1,A dude with money can only impress a broke bitch.
1650334,1,A dyke who wears strap ons can't brag to me that she beats the pussy better than me because her dildo can't cum and make her stop.
1650335,1,A fat bitch &gt; RT @WayneL_Jr: A strong black woman &gt; RT @Ivan_splash: Kim&gt;Kourtney&gt;Kendall&gt;Khloe&gt; Kylie
1650336,1,A fuck ain't shit to these new age hoes
1650337,2,A ghetto girl's best bet is to find work at a call center and try to climb that corporate latter.
1650338,1,A girl knows when a niggah just trynna fuck .
1650339,1,A girl who getting it in school and work.... I applaud you! Y'all the real bitches! Y'all doing what you do and doing it well!
1650340,1,"A girlfriend is almost a bill lowkey. So at this point in my life where I should be gettin outta my moms crib, I'll rather just have hoes."
1650341,1,A girlfriend would be cool but pussy is all they got nowadays *
1650342,0,"A guy claiming to be Republican called C-Span news and said ""Republicans hate that nigger Obama"" https://t.co/XZe0u7guZM"
1650343,1,"A guy on True Blood is getting his penis inspected and the doctor told him it look like an eggplant

&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;"
1650344,1,"A hoe gon be a hoe, that ain't a hunnid."
1650345,1,A hoe gone be a hoe they ain't &#128175;
1650346,1,A hoe gonna be a hoe regardless
1650347,1,"A hoe nigga will not be tolerated,"
1650348,2,"A homeless dog living in a trash pile gets rescued, and then does something amazing! Please share. http://t.co/SzpStdxmn6 via @youtube"
1650349,1,A hunned hunneds nicca #LetsGetIt
1650350,1,"A knock on the door. ""Who could it be at this hour?!"" I shuffle down the hall. ""Who is it?"" I ask. It's a bad bitch and a burrito. The end."
1650351,1,A lady approached me asking me if I was religious and when I said no she scolded me on how I'm going to hell. See you there crazy bitch &#128520;
1650352,2,"A light, tender yellow butter cake with a classic boiled icing, traditionally made from burnt sugar http://t.co/XPQKTlTNkH"
1650353,1,A lot of I fucked up call me back this bitch is tripping .. Lol
1650354,1,A lot of bitches eat ass nowadays &#128567;
1650355,1,A lot of cool bitches that a nigga went to school with was major hoes ... And they man don't know
1650356,1,A lot of dumb bitches out here....
1650357,1,A lot of you niggas turned these bitches into sketch ass bitches
1650358,1,A lotta niccas all talk I jus let em do it
1650359,1,A lotta u niccas ain't who u say u is!
1650360,1,A man will cheat on his woman.. Fuck 20 different bitches in 1 year.
1650361,1,A miserable bitch is on the docket today. Lois 'Misery' Lerner better get grilled. The ordered harassment was undeniable. #breakherdown #war
1650362,2,A new way to look for aliens: find their trash &#8594; http://t.co/n9CTH1jrda
